iter	Logloss
0	0.6867416011
1	0.6813185166
2	0.6764433488
3	0.6723072735
4	0.6687379342
5	0.6657065174
6	0.6630943247
7	0.6608004545
8	0.65881977
9	0.6571395503
10	0.6556944997
11	0.6544887206
12	0.653367227
13	0.6524619737
14	0.6516207135
15	0.6508873664
16	0.6502771488
17	0.6497401027
18	0.6492640553
19	0.6488973087
20	0.6485270807
21	0.6482497445
22	0.6479847151
23	0.6477610859
24	0.6475459412
25	0.6474249664
26	0.6472617759
27	0.647129176
28	0.6469967343
29	0.6468903428
30	0.6468116325
31	0.6467453752
32	0.6466662023
33	0.646622404
34	0.6465505837
35	0.6465159638
36	0.6464665295
37	0.6464318244
38	0.6463737229
39	0.6463568147
40	0.6463178004
41	0.646288987
42	0.6462683417
43	0.6462393823
44	0.6462003071
45	0.6461969595
46	0.6461735388
47	0.6461706782
48	0.6461446767
49	0.6461256383
50	0.6461072328
51	0.6461163503
52	0.6460875978
53	0.6461028261
54	0.6460693384
55	0.6460804766
56	0.6460688271
57	0.6460651265
58	0.6460610242
59	0.6460667577
60	0.6460479505
61	0.6460513102
62	0.6460468184
63	0.6460433248
64	0.6460293137
65	0.6460437752
66	0.6460064164
67	0.6460160817
68	0.6460039696
69	0.6460174086
70	0.6460131967
71	0.6460190276
72	0.6460146818
73	0.6460190398
74	0.6460190398
75	0.6460207318
76	0.6460135619
77	0.6460093501
78	0.6459923567
79	0.6459903481
80	0.6459924784
81	0.6459862093
82	0.645986891
83	0.6459871345
84	0.6459848216
85	0.6459652475
86	0.6459764223
87	0.6459893256
88	0.6459862824
89	0.6459736955
90	0.6459731843
91	0.6459731964
92	0.6459786864
93	0.645976191
94	0.6459722226
95	0.6459749615
96	0.6459713461
97	0.6459735373
98	0.6459737686
99	0.6459809019
100	0.6459589419
101	0.6459589419
102	0.6459603905
103	0.6459582481
104	0.6459662579
105	0.6459791247
106	0.6459629955
107	0.645948814
108	0.6459516625
109	0.6459626547
110	0.6459783821
111	0.6459672682
112	0.6459536954
113	0.645954304
114	0.6459581263
115	0.6459516138
116	0.6459535006
117	0.6459527824
118	0.6459557404
119	0.64595529
120	0.645948108
121	0.645948108
122	0.645948108
123	0.645948108
124	0.645948108
125	0.6459500313
126	0.6459500678
127	0.6459490088
128	0.6459507252
129	0.645948814
130	0.6459492279
131	0.6459440787
132	0.6459461481
133	0.6459415224
134	0.6459372862
135	0.6459456369
136	0.6459494348
137	0.6459501774
138	0.6459515286
139	0.6459548883
140	0.6459547666
141	0.6459545718
142	0.6459561665
143	0.6459486801
144	0.6459495444
145	0.6459495444
146	0.6459495444
147	0.6459480593
148	0.6459494105
149	0.6459461725
150	0.6459467933
151	0.64594487
152	0.645951772
153	0.6459421067
154	0.6459499339
155	0.6459503113
156	0.6459512973
157	0.645942265
158	0.6459382723
159	0.6459360933
160	0.645937481
161	0.6459382357
162	0.6459369819
163	0.6459337926
164	0.6459385644
165	0.6459385644
166	0.645939806
167	0.6459396234
168	0.6459355577
169	0.6459355212
170	0.6459355212
171	0.6459346569
172	0.645939027
173	0.645939027
174	0.6459274992
175	0.6459307372
176	0.6459307372
177	0.6459307372
178	0.6459345473
179	0.645935436
180	0.6459328309
181	0.6459387105
182	0.6459392096
183	0.6459329892
184	0.6459456977
185	0.6459365193
186	0.6459378219
187	0.6459416442
188	0.6459357768
189	0.6459359594
190	0.6459333179
191	0.6459336344
192	0.6459352534
193	0.6459314797
194	0.6459314797
195	0.6459381627
196	0.6459414129
197	0.6459321249
198	0.6459302138
199	0.6459329162
200	0.6459284365
201	0.6459303598
202	0.6459284
203	0.6459275844
204	0.6459389174
205	0.6459284974
206	0.6459425571
207	0.6459236039
208	0.6459118935
209	0.6459134151
210	0.6459137194
211	0.6459147906
212	0.645918966
213	0.6459176878
214	0.6459126239
215	0.6459218266
216	0.6459229343
217	0.6459143646
218	0.6459179434
219	0.6459174687
220	0.6459245655
221	0.6459250037
222	0.6459250037
223	0.6459188077
224	0.6459188321
225	0.6459188321
226	0.6459188442
227	0.6459188442
228	0.6459221553
229	0.6459136342
230	0.6459123926
231	0.6459139264
232	0.6459039689
233	0.6459085459
234	0.6459157766
235	0.6459085216
236	0.6459092519
237	0.645909325
238	0.6459137559
239	0.6459083633
240	0.6459078764
241	0.6459063426
242	0.6459055757
243	0.6459056731
244	0.6459127578
245	0.6459138168
246	0.6459140359
247	0.6459171157
248	0.6459147906
249	0.6459149489
250	0.6459116135
251	0.645908765
252	0.6459034211
253	0.6459061965
254	0.6459081442
255	0.6459023986
256	0.6459046993
257	0.6459099945
258	0.6459122221
259	0.6459148637
260	0.645915095
261	0.6459176756
262	0.6459158253
263	0.6459134029
264	0.6459169452
265	0.6459154601
266	0.6459169331
267	0.6459187103
268	0.6459142429
269	0.6459142063
270	0.6459133055
271	0.645909678
272	0.6459109196
273	0.6459115039
274	0.6459122465
275	0.6459140724
276	0.645914255
277	0.6459234578
278	0.6459240786
279	0.6459237378
280	0.645921644
281	0.6459157036
282	0.6459142672
283	0.6459153628
284	0.6459174809
285	0.6459151193
286	0.6459128064
287	0.6459129525
288	0.6459108223
289	0.6459125752
290	0.6459106031
291	0.6459175417
292	0.6459177608
293	0.6459177608
294	0.6459177608
295	0.6459177608
296	0.6459185277
297	0.6459185399
298	0.6459193068
299	0.645921571
300	0.6459215466
301	0.6459215588
302	0.6459215344
303	0.6459197815
304	0.645919599
305	0.6459196111
306	0.6459196598
307	0.6459199641
308	0.6459201954
309	0.6459209867
310	0.6459147419
311	0.6459157401
312	0.6459155332
313	0.6459151315
314	0.6459150098
315	0.6459149124
316	0.6459149124
317	0.6459149124
318	0.6459149124
319	0.645914888
320	0.645914888
321	0.6459149002
322	0.6459147906
323	0.6459147906
324	0.6459147906
325	0.6459147906
326	0.6459147906
327	0.6459147663
328	0.6459147663
329	0.6459147663
330	0.6459147663
331	0.6459148272
332	0.6459148272
333	0.6459148272
334	0.6459148758
335	0.6459148637
336	0.6459148637
337	0.6459148637
338	0.6459148637
339	0.6459148637
340	0.6459148637
341	0.6459148637
342	0.6459148637
343	0.6459148637
344	0.6459148637
345	0.6459148637
346	0.6459148637
347	0.6459148637
348	0.6459148637
349	0.6459148637
350	0.6459148637
351	0.6459148637
352	0.6459148637
353	0.6459148637
354	0.6459148637
355	0.6459148637
356	0.6459148637
357	0.6459148758
358	0.6459148393
359	0.6459148393
360	0.6459148393
361	0.6459148393
362	0.6459148393
363	0.6459148393
364	0.6459148393
365	0.6459148393
366	0.6459148393
367	0.6459148028
368	0.6459148028
369	0.6459148028
370	0.6459148028
371	0.6459148028
372	0.6459148028
373	0.6459148028
374	0.6459148028
375	0.6459148028
376	0.6459148028
377	0.6459148028
378	0.6459148028
379	0.6459148028
380	0.6459148028
381	0.6459148028
382	0.6459147541
383	0.6459147541
384	0.6459147785
385	0.6459147541
386	0.6459147541
387	0.6459147541
388	0.6459147541
389	0.6459147541
390	0.6459147541
391	0.6459147541
392	0.6459147541
393	0.6459147541
394	0.6459147541
395	0.6459147541
396	0.6459147541
397	0.6459147541
398	0.6459147419
399	0.6459147419
400	0.6459147419
401	0.6459147419
402	0.6459147419
403	0.6459147419
404	0.6459147419
405	0.6459147419
406	0.6459147419
407	0.6459147419
408	0.6459147419
409	0.6459147419
410	0.6459147419
411	0.6459147419
412	0.6459147419
413	0.6459147419
414	0.6459147419
415	0.6459147419
416	0.6459147419
417	0.6459146933
418	0.6459146933
419	0.6459146933
420	0.6459146933
421	0.6459146933
422	0.6459146933
423	0.6459146933
424	0.6459146933
425	0.6459146933
426	0.6459146933
427	0.6459146933
428	0.6459146933
429	0.6459146933
430	0.6459146933
431	0.6459146933
432	0.6459146933
433	0.6459146933
434	0.6459146933
435	0.6459146933
436	0.6459147298
437	0.6459147541
438	0.6459147541
439	0.6459147541
440	0.6459147541
441	0.6459147541
442	0.6459147541
443	0.6459147541
444	0.6459147419
445	0.6459147419
446	0.6459147298
447	0.6459147298
448	0.6459147298
449	0.6459147298
450	0.6459147298
451	0.6459147419
452	0.6459147419
453	0.6459147298
454	0.6459147298
455	0.6459147298
456	0.6459147298
457	0.6459147298
458	0.6459147298
459	0.6459147419
460	0.6459147419
461	0.6459147298
462	0.6459147298
463	0.6459147298
464	0.6459147298
465	0.6459147298
466	0.6459147298
467	0.6459147298
468	0.6459147298
469	0.6459147298
470	0.6459147298
471	0.6459147298
472	0.6459147298
473	0.6459147298
474	0.6459147298
475	0.6459147298
476	0.6459147298
477	0.6459147298
478	0.6459147298
479	0.6459147298
480	0.6459147298
481	0.6459147298
482	0.6459147298
483	0.6459147298
484	0.6459147298
485	0.6459147298
486	0.6459147419
487	0.6459147419
488	0.6459147298
489	0.6459147419
490	0.6459147419
491	0.6459147419
492	0.6459147419
493	0.6459147419
494	0.6459147298
495	0.6459147298
496	0.6459147298
497	0.6459147663
498	0.6459147663
499	0.6459147419
500	0.6459147419
