iter	Passed	Remaining
0	35	35611
1	67	33745
2	97	32396
3	128	32022
4	158	31616
5	248	41155
6	316	44926
7	397	49253
8	449	49498
9	503	49877
10	549	49423
11	604	49773
12	651	49499
13	689	48542
14	713	46846
15	739	45502
16	760	43973
17	781	42662
18	808	41758
19	829	40652
20	852	39731
21	873	38820
22	896	38062
23	917	37305
24	942	36746
25	974	36509
26	1005	36224
27	1036	35965
28	1064	35649
29	1091	35277
30	1115	34865
31	1133	34299
32	1153	33787
33	1179	33505
34	1205	33248
35	1230	32944
36	1253	32618
37	1282	32460
38	1302	32087
39	1326	31837
40	1347	31512
41	1368	31207
42	1389	30924
43	1416	30770
44	1442	30604
45	1462	30340
46	1485	30116
47	1505	29862
48	1528	29658
49	1551	29475
50	1570	29219
51	1591	29007
52	1615	28864
53	1641	28761
54	1661	28555
55	1687	28451
56	1703	28174
57	1718	27914
58	1740	27757
59	1757	27527
60	1779	27394
61	1803	27279
62	1819	27060
63	1843	26963
64	1865	26836
65	1887	26707
66	1906	26546
67	1929	26444
68	1950	26318
69	1970	26178
70	1990	26040
71	2012	25941
72	2039	25893
73	2062	25813
74	2079	25641
75	2099	25531
76	2117	25379
77	2139	25292
78	2160	25182
79	2180	25075
80	2199	24956
81	2217	24828
82	2242	24780
83	2268	24738
84	2292	24674
85	2306	24514
86	2323	24385
87	2342	24279
88	2362	24186
89	2389	24158
90	2401	23991
91	2412	23810
92	2433	23728
93	2450	23619
94	2472	23555
95	2500	23542
96	2525	23506
97	2543	23413
98	2561	23308
99	2581	23231
100	2599	23142
101	2614	23021
102	2634	22941
103	2652	22848
104	2672	22778
105	2696	22741
106	2720	22705
107	2740	22635
108	2769	22642
109	2788	22563
110	2810	22506
111	2824	22394
112	2846	22344
113	2867	22285
114	2881	22175
115	2902	22116
116	2934	22148
117	2954	22082
118	2976	22036
119	2998	21988
120	3018	21929
121	3031	21818
122	3046	21719
123	3064	21651
124	3078	21549
125	3092	21448
126	3107	21360
127	3126	21301
128	3142	21220
129	3163	21167
130	3183	21117
131	3205	21076
132	3222	21003
133	3237	20920
134	3256	20864
135	3276	20812
136	3296	20765
137	3312	20689
138	3335	20661
139	3359	20637
140	3380	20597
141	3398	20534
142	3415	20467
143	3435	20421
144	3455	20377
145	3473	20315
146	3490	20254
147	3509	20205
148	3525	20137
149	3546	20095
150	3565	20045
151	3590	20032
152	3609	19981
153	3627	19929
154	3647	19884
155	3662	19813
156	3685	19790
157	3701	19723
158	3719	19675
159	3734	19605
160	3755	19572
161	3781	19559
162	3804	19534
163	3826	19508
164	3847	19472
165	3864	19414
166	3882	19364
167	3899	19313
168	3919	19271
169	3933	19203
170	3946	19133
171	3963	19079
172	3983	19043
173	4003	19004
174	4026	18981
175	4044	18935
176	4061	18883
177	4074	18818
178	4097	18794
179	4112	18736
180	4133	18701
181	4151	18657
182	4171	18623
183	4190	18581
184	4211	18552
185	4233	18526
186	4256	18503
187	4279	18484
188	4296	18437
189	4313	18390
190	4330	18341
191	4346	18292
192	4360	18232
193	4380	18200
194	4398	18156
195	4419	18127
196	4436	18083
197	4458	18058
198	4476	18019
199	4501	18005
200	4522	17975
201	4537	17926
202	4553	17876
203	4582	17879
204	4602	17848
205	4618	17801
206	4642	17786
207	4666	17766
208	4687	17740
209	4711	17723
210	4732	17696
211	4750	17657
212	4766	17612
213	4783	17570
214	4807	17552
215	4829	17528
216	4851	17506
217	4871	17474
218	4892	17446
219	4909	17406
220	4926	17365
221	4940	17313
222	4956	17268
223	4977	17242
224	4992	17196
225	5007	17147
226	5024	17109
227	5039	17063
228	5063	17048
229	5095	17058
230	5114	17026
231	5136	17004
232	5158	16982
233	5183	16968
234	5211	16964
235	5228	16926
236	5245	16886
237	5265	16859
238	5289	16842
239	5322	16855
240	5348	16845
241	5374	16832
242	5408	16848
243	5440	16857
244	5468	16852
245	5499	16857
246	5526	16846
247	5548	16823
248	5574	16813
249	5597	16791
250	5628	16795
251	5658	16794
252	5684	16783
253	5721	16803
254	5755	16814
255	5786	16816
256	5818	16820
257	5839	16793
258	5861	16769
259	5884	16746
260	5900	16708
261	5925	16690
262	5949	16671
263	5967	16636
264	5984	16597
265	6003	16566
266	6025	16542
267	6041	16500
268	6062	16473
269	6085	16452
270	6108	16431
271	6141	16438
272	6160	16405
273	6178	16371
274	6195	16333
275	6213	16298
276	6230	16261
277	6251	16235
278	6268	16198
279	6284	16158
280	6297	16114
281	6318	16086
282	6343	16071
283	6368	16056
284	6387	16024
285	6408	15998
286	6429	15973
287	6448	15941
288	6467	15910
289	6488	15885
290	6503	15845
291	6519	15806
292	6535	15770
293	6552	15734
294	6575	15714
295	6592	15678
296	6610	15645
297	6630	15620
298	6653	15598
299	6671	15567
300	6687	15530
301	6704	15495
302	6721	15461
303	6737	15425
304	6755	15394
305	6779	15376
306	6796	15342
307	6819	15320
308	6838	15292
309	6860	15269
310	6877	15237
311	6897	15210
312	6912	15171
313	6932	15146
314	6948	15111
315	6968	15082
316	6987	15055
317	7008	15030
318	7026	15000
319	7050	14982
320	7067	14950
321	7084	14916
322	7098	14878
323	7114	14844
324	7130	14809
325	7147	14777
326	7161	14739
327	7181	14713
328	7203	14690
329	7222	14663
